Author,RFC_Match_Count
L. Levrau,1
D. Harkins,1
A. Guillou,1
D. Wing,1
J. Manner,2
E. Gray,1
K. Lam,1
S. Mansfield,1
O. Troan,4
C. Aoun,1
M. Stiemerling,1
A. McDonald,1
A. Bader,2
C. Kappler,2
G. Ash,1
L. Westberg,1
T. Phelan,1
A. Kobayashi,3
C. Kaufman,2
P. Hoffman,2
Y. Nir,4
Y. Sheffer,1
A. Pendleton,1
H. Sinnreich,1
S. Jiang,6
A. Crouch,1
K. Ogawa,1
X. Wang,1
J. Mattsson,1
T. Tian,1
M. Liebsch,1
O. Blume,1
R. Presuhn,1
B. Haley,1
H. Deng,2
P. Saint-Andre,1
M. Townsley,1
A. Sajassi,1
D. Mohan,1
L. Chen,1
S. Turner,2
J. Winterbottom,1
M. Thomson,2
R. Barnes,1
G. Muenz,2
K. Ishibashi,1
D. Dugal,1
R. Dunn,1
T. Zhang,1
M. Bjorklund,2
R. Enns,1
J. Navali,1
A. Dutta,1
K. Taniuchi,1
V. Fajardo,4
M. Aissaoui,1
P. Busschbach,1
Y(J). Stein,1
J. Moisand,1
A. Rahman,3
R. Alimi,3
Y. Yang,3
Y. Wang,1
J. Soininen,1
K. Iisakkila,1
T. Savolainen,1
X. Cui,1
R. Maglione,4
A. Makela,1
A. Gurtov,1
T. Henderson,1
A. Brandt,1
J. Hui,1
K. Pister,1
P. Levis,1
R. Alexander,1
R. Kelsey,1
R. Struik,1
T. Winter,1
D. Damic,1
A. Kanevsky,1
C. Bestler,1
R. Sharp,1
S. Wise,1
H. Jang,1
J. Choi,1
K. Wierenga,2
M. McCauley,2
S. Venaas,3
S. Winter,3
T. Clausen,3
U. Herberg,3
Z. Cao,3
M. Ersue,1
M. Venkatesan,1
J. Novak,1
H. Song,2
N. Zong,1
F. Brockners,2
S. Speicher,1
S. Hanna,3
B. He,1
Y. Shi,1
S. Decugis,2
S. Cheshire,1
P. Aitken,2
V. Cakulev,2
S. Bhandari,1
V. Singh,1
S. Mizikovsky,1
M. Morgenstern,1
D. Burnett,1
S. Shanmugham,1
D. Farinacci,1
G. Shepherd,2
Y. Cai,1
A. Lindem,1
C. Jacquenet,3
Y. Lee,2
G. Feige,1
X. Zhou,1
B. Lourdelet,1
D. Miles,1
W. Dec,4
D. Guo,1
R. Despres,1
H. Li,1
N. Dukkipati,1
Y. Cheng,1
D. McPherson,1
A. Cooper,1
M. Hansen,1
R. Smith,2
O. van Deventer,1
R. van Brandenburg,2
M. Chandramouli,1
T. Dietz,2
C. Henke,1
L. Peluso,1
S. D\'Antonio,1
D. Zhang,4
M. Wasserman,1
J. Howlett,4
B. Campbell,3
E. McMurry,1
D. Kutscher,3
K. Pentikousis,2
R. Hao,1
S. Aldrin,1
S. Salam,1
T. Senevirathne,1
C. Dearlove,1
P. Thaler,1
J. Malinen,1
C. Xie,3
D. Binet,1
G. Chen,1
A. Yourtchenko,2
D. Ovsienko,1
D. Borman,1
R. Scheffenegger,2
V. Jacobson,1
B. Schoening,1
J. Parello,1
L. Peterson,1
E. Vyncke,1
K. Chittimaneni,1
L. Howard,2
T. Chown,1
V. Kuarsingh,1
Y. Pouffary,1
J. Gilger,1
S. McCann,1
A. Ghanwani,1
B. Khasnabish,1
L. Yong,1
N. So,1
R. Krishnan,2
R. Valmikam,1
A. Newton,1
B. Ellacott,1
N. Kong,1
A. Perez-Mendez,2
D. Lopez,4
F. Pereniguez-Garcia,1
G. Lopez-Millan,1
R. Marin-Lopez,1
T. Haynes,2
L. Grieco,1
M. Palattella,1
T. Watteyne,1
J. Kaippallimalil,1
R. Pazhyannur,1
A. Bakker,1
R. Petrocco,1
V. Grishchenko,1
A. Clemm,1
L. Ciavaglia,2
M. Behringer,5
M. Pritikin,1
S. Bjarnason,2
A. Luchuk,1
T. Wolniewicz,1
C. Bao,3
T. Murakami,2
I. Farrer,1
L. Yeh,1
S. Perreault,1
T. Mrugalski,2
X. Deng,1
B. Chatras,1
B. Williams,1
T. Reddy,2
M. Cullen,2
L. Bertz,2
C. Zhou,1
Q. Sun,1
S. Donovan,5
B. Briscoe,1
G. Selander,1
L. Seitz,1
M. Mani,1
S. Gerdes,1
S. Kumar,1
H. Gredler,1
J. Medved,1
S. Previdi,2
S. Ray,1
CJ. Bernardos,3
F. Mir,1
S. Krishnan,1
Y. Zhang,1
M. Kuehlewind,1
C. Cardona,1
P. Francois,1
P. Lucente,1
D. Migault,2
V. Smyslov,1
J. Schaad,1
A. Ripke,1
R. da Silva,1
D. Lingli,1
J. Taveira,1
J. Xia,1
M. Nunes,1
R. Cruz,1
R. Huang,1
B. Decraene,1
C. Filsfils,1
M. Horneffer,1
R. Shakir,1
S. Litkowski,4
P. Timmel,1
A. Atlas,1
S. Hares,3
G. Salgueiro,1
J. Clarke,1
T. Fossati,1
D. Corujo,2
D. Saucez,1
I. Psaras,1
S. Eum,1
A. Azgin,1
A. Detti,1
C. Mueller,1
C. Timmerer,1
C. Westphal,1
D. Posch,1
J. Wang,1
M. Montpetit,1
N. Murray,1
S. Lederer,1
W. Liu,2
G. Bertrand,1
I. Oprescu,1
R. Peterkofsky,1
A. Arcia-Moret,1
A. Sathiaseelan,1
B. Braem,1
E. Pietrosemoli,1
J. Saldana,1
M. Zennaro,1
K. Pillay,1
A. Retana,1
R. White,1
I. McDonald,1
M. Sweet,1
J. Hudson,1
L. Kreeger,1
M. Lasserre,1
B. Raymor,1
E. Damaggio,1
D. Cheng,1
S. Sivakumar,3
K. Ogaki,2
L. Tomotaki,2
J. Yi,1
C. Heidemann,1
M. Zhang,1
N. Leymann,1
C. Lever,2
J. Jeong,1
M. Zarny,1
R. Kumar,2
A. D\'Alessandro,1
K. Arai,1
L. Andersson,1
S. Ueno,1
Y. Koike,1
B. Stiller,1
C. Schmitt,1
