Author,RFC_Match_Count
G. Montenegro,7
V. Gupta,3
J. Flick,3
J. Johnson,2
P. Pomes,1
R. Hedberg,4
M. Garrett,1
J. Krawczyk,2
R. Gellens,11
B. Rajagopalan,4
H. Sandick,1
R. Nair,1
D. Gan,1
P. Srisuresh,4
A. Shacham,2
R. Monsour,1
R. Pereira,3
R. Atkinson,7
S. Kent,4
C. Madson,1
N. Doraswamy,1
D. Piper,1
D. Carrel,2
D. Harkins,2
G. Zorn,37
S. Cobb,1
G. Parsons,3
R. Brett,1
R. Chandra,1
R. Govindan,1
D. Cohen,1
D. Newman,2
J. Belissent,1
M. Hoy,1
D. Stenerson,1
F. Dawson,2
R. Hopson,1
S. Mansour,2
S. Silverberg,1
B. Clouston,1
B. Moore,2
A. DeSimone,1
F. Burg,1
H. Lu,3
H. Schulzrinne,29
K. Tewani,1
K. Vishwanathan,1
L. Conroy,7
M. Krishnaswamy,2
P. Davidson,1
D. Black,5
E. Davies,15
M. Carlson,2
S. Blake,3
W. Weiss,1
Z. Wang,1
M. Beadles,5
D. Glover,2
L. Sanchez,1
M. Allman,11
J. Macker,6
S. Corson,1
C. Bouwens,1
M. Myjak,1
M. Pullen,1
L. Leong,1
G. Lindberg,1
A. Prasad,2
J. Heinanen,3
W. Greene,2
B. Volz,5
I. Heavens,1
J. Griner,2
J. Semke,2
K. Lahey,1
S. Dawson,1
W. Fenner,1
S. Chokhani,2
W. Ford,2
F. Dupont,2
P. Marques,3
E. Rosen,6
A. Malpani,2
C. Adams,2
M. Myers,2
R. Ankney,2
S. Galperin,2
R. Troll,1
P. Powell,2
R. Herriot,3
R. deBry,2
S. Isaacson,3
T. Hastings,6
F. Wright,1
R. Finlayson,1
C. Kalbfleisch,2
H. Hazewinkel,1
J. Schoenwaelder,13
A. DeLaCruz,1
J. Vollbrecht,7
S. Shepler,4
P. Nesser II,1
D. Wallner,1
E. Harder,1
R. Agee,1
V. Smyslov,4
A. Lunde,1
G. Pall,3
J. Taarud,1
K. Hamzeh,1
W. Little,1
W. Verthein,1
K. Nichols,3
C. Manros,2
B. Curtin,1
L. Kane,1
C. Alaettinoglu,2
C. Orange,1
D. Meyer,6
J. Schmitz,1
M. Prior,1
B. Greenblatt,1
M. Wahl,1
R. Moats,1
B. Palter,1
W. Townsley,2
A. Wells,1
E. Krol,1
R. Plzak,2
A. Orda,1
D. Williams,3
G. Apostolopoulos,1
S. Kama,1
T. Przygienda,2
M. Zekauskas,6
S. Kalidindi,5
B. Leiba,5
D. Putzolu,1
C. Bormann,18
B. Frantz,1
B. Lampson,1
B. Thomas,1
C. Ellison,1
R. Rivest,1
T. Ylonen,2
S. Ginoza,15
D. Awduche,5
J. Agogbua,1
J. Malcolm,1
J. McManus,1
G. Klyne,5
A. Dugan,1
I. Elliott,1
M. Arango,1
S. Pickett,1
H. Lewis,3
R. Bergman,3
S. Handelman,1
S. Stibler,1
S. Murphy,1
A. Poppitt,1
P. Bagnall,1
R. Briscoe,1
D. Ferguson,2
R. Coltun,2
J. Wray,1
A. Terzis,1
A. Sastry,1
D. Durham,2
J. Boyle,3
R. Cohen,3
R. Rajan,1
D. Pendarakis,1
R. Yavatkar,3
M. Kojo,4
N. Vaidya,1
S. Dawkins,6
V. Magret,1
D. Tran,1
H. Kruse,1
J. Heidemann,1
J. Touch,4
K. Scott,2
S. Ostermann,1
T. Henderson,4
C. Martin,2
J. Dunn,2
A. Lin,1
B. Gleeson,1
G. Tsirtsis,3
B. Aiken,1
B. Teitelbaum,2
C. Lynch,1
I. Foster,1
J. Mambretti,1
J. Strassner,4
R. Moore,1
G. Mohr,1
J. Vincent,1
M. Day,3
S. Aggarwal,1
J. Yu,2
S. Christey,1
D. Burdett,1
K. Davidson,1
Y. Kawatsura,2
IAB,8
IESG,1
B. Rosen,7
M. Ramalho,4
N. Greene,3
C. Kalt,1
A. Smith,7
M. Seaman,2
A. Ghanwani,7
J. Pace,1
V. Srinivasan,1
P. Resnick,5
E. Hernandez-Valencia,1
J. Carlson,3
J. Manchester,1
P. Langner,1
L. Daigle,6
R. Shirey,2
J.-M. Pittet,2
K. Teow,1
F. da Cruz,1
J. Altman,2
P. Droz,1
S. Petrack,1
G. Good,1
J. Kabat,1
M. Upadhyay,3
D. Connolly,1
B. Nandy,1
N. Seddigh,1
W. Fang,1
D. Mitton,10
D. Leifer,1
I. Goyret,2
J. Shriver,1
M. Holdrege,5
P. Calhoun,15
W. Willats,1
J. Rosenberg,16
H. Prafullchandra,2
J. Schaad,8
A. Rayhan,2
F. Cuervo,2
J. Segers,2
B. Whetten,1
L. Vicisano,3
M. Luby,3
R. Kermode,1
D. Tsiang,1
G. Suwala,1
A. Bierman,7
C. Bucci,2
R. Iddon,1
C. de Laat,4
D. Spence,5
G. Gross,4
L. Gommans,4
B. de Bruijn,3
S. Farrell,14
A. Blount,1
D. Partain,2
J. Seligson,2
T. Ts\'o,2
D. Fowler,1
K. Rehbehn,1
C. Sharp,1
H. Schwarzbauer,1
I. Rytina,1
K. Morneault,3
M. Kalla,1
Q. Xie,4
R. Stewart,11
T. Taylor,15
D. Kristol,1
L. Montulli,1
T. Eklof,1
E. Whelan,1
D. Harrington,6
J. Arkko,24
S. Donovan,7
S. Glass,3
S. Jacobs,2
T. Hiller,5
A. Hameed,2
B. Hirschman,3
B. Lim,2
B. Patil,8
E. Campbell,2
E. Jaques,2
G. Dommety,7
H. Koo,2
H. Shiino,2
M. Lipford,2
M. Munson,2
P. McCann,4
P. Walsh,2
R. Hsu,2
S. Baba,2
S. Manning,3
S. Sivalingham,2
X. Chen,2
Y. Xu,3
G. Huston,7
C. Hopps,1
I. Faynberg,2
J. Hwang,1
J. Voelker,1
J. Yoakum,1
L. Robart,1
M. Weissman,1
S. Ago,1
S. Hadvani,1
S. Moeenuddin,1
S. Nyckelgard,1
S. Rhim,1
W. Zhang,1
E. Felstaine,1
M. Speer,1
P. Ford,1
Y. Bernet,2
L. Shiota,1
D. Mitzel,1
A. Demirtjis,1
B. Beser,1
G. Stump,1
J. Privat,1
R. Vyaghrapuri,1
Y. Gu,1
S. Harris,1
C. Iturralde,2
S. Casner,4
C. Beame,2
D. Noveck,7
M. Eisler,3
R. Thurlow,3
T. Killalea,1
M. Riegel,3
A. Bogdanov,1
K. Egevang,1
M. Suzuki,3
H. Balakrishnan,3
M. Eder,2
S. Nag,2
A. Durand,5
D. Lento,1
I. Guardini,2
P. Fasano,1
D. Romascanu,8
A. Westerinen,2
E. Ellesson,1
A. Cormack,1
J. Arvidsson,1
J. Meijer,1
Y. Demchenko,1
J. Boyer,2
F. Reichmeyer,1
K. Chan,6
S. Gai,2
B. Campbell,6
R. Sparks,11
D. Brendes,1
D. Sprague,1
J. Keller,2
R. Benedyk,1
A. Martensson,1
A. Miyazaki,2
C. Burmeister,1
H. Fukushima,1
H. Hannu,4
H. Zheng,1
K. Le,1
K. Svanbro,1
L-E. Jonsson,4
M. Degermark,2
R. Hakenberg,2
T. Koren,1
T. Wiebke,1
T. Yoshimura,1
Z. Liu,4
T. Gavin,1
D. Grabelsky,1
J. Lo,1
K. Taniguchi,1
M. Borella,2
T. Goldstein,1
S. Seshan,1
D. Pinkas,3
J. Ross,3
N. Pope,3
B. Wolff,1
D. Nelson,9
M. St.Johns,1
M. Stevens,1
S. Barkley,1
C. Lo,1
T. Ayaki,1
T. Seki,1
M. Verma,1
R. Verma,1
A. Arsenault,1
B. Quinn,2
K. Almeroth,1
B. Monsour,1
F. Le Faucheur,14
A. Ogawa,1
K. Kobayashi,2
B. Patel,2
S. Booth,1
W. Dixon,2
C. Kugler,1
H. Holst,1
P. Zehler,1
A. Huynh,1
J. Perry,1
J. Schnizlein,1
M. Scherling,1
A. Tweedly,1
D. Leshchiner,1
J. Gemmell,1
L. Rizzo,1
N. Bhaskar,1
R. Edmonstone,1
R. Sumanasekera,1
S. Lin,1
T. Montgomery,1
T. Speakman,2
A. Hannan,2
X. Xiao,2
C. Boscher,1
E. Gray,5
L. Wu,1
P. Cheval,1
H. Salama,1
M. Squire,1
G. Trotter,1
S. Brim,3
G. Pelletier,3
A. Charny,4
D. Stiliadis,1
J.C.R. Bennet,1
J.Y. Le Boudec,1
K. Benson,2
S. Davari,2
V. Firoiu,3
W. Courtney,2
A. Chiu,3
C. Kalmanek,1
J. Bennet,1
J. Boudec,1
D. Kutscher,6
J. Ott,7
A. Johnston,7
E. Schooler,1
G. Camarillo,14
J. Peterson,18
A. Elwalid,1
I. Widjaja,1
D. McPherson,5
D. Grossman,2
A. Doria,8
F. Hellstrand,2
K. Sundell,1
T. Worster,1
B. Srinivasan,1
H. Sjostrand,1
J. Buerkle,1
R. Iwazaki,1
A. De La Cruz,1
M. Shore,1
P. A. Mart,1
P. Sijben,1
R. P. Swale,1
W. Marshall,2
J. Bound,1
M. Carney,1
T. Lemon,6
R. Sahita,2
S. Hahn,2
J. Christoffersson,2
R. Price,3
K.-C. Leung,1
S. Forsgren,1
B. Hoeneisen,2
D. Willis,1
G. Sidebottom,2
J. Pastor-Balbas,2
C. Carle,1
S. Zander,2
T. Zseby,6
B. Christian,1
D. Cooper,3
V. Gill,1
W.S. Lai,1
M. Krueger,2
R. Haagens,1
R. Cheng,1
R. Koodli,8
R. Ravikanth,1
J. Kempf,6
A. Thyagarajan,1
B. Cain,3
B. Fenner,3
I. Kouvelas,5
K. Zeilenga,2
H. Chaskar,3
A. Warth,1
R. Dietz,2
S. Cheshire,9
A. B. Roach,3
L. Ong,5
E. Elkin,1
K. Zhang,1
A. Morton,18
G. Grotefeld,1
V. Raisanen,1
B. Foster,1
F. Andreasen,5
B. Akyol,1
P. Agarwal,1
J. Jonsson,2
J. Padhye,3
J. Widmer,3
G. Fairhurst,10
M. Sooriyabandara,1
V. Padmanabhan,1
M. Blanchet,7
E. Henrikson,1
M. Garcia-Martin,6
S. Kelly,7
S. Ramamoorthi,1
C. Eliot,1
E. Burger,7
E. Candell,1
G. Tomlinson,1
P. Rzewski,2
G. Swallow,8
L. Andersson,5
V. Sharma,2
A. Farrel,19
A. Kulkarni,2
D. Rawlins,2
M. Bokaemper,2
J. Weinberger,1
R. Mahy,7
A. Costello,1
P. Faltstrom,4
J. Saperia,1
M. MacFaden,2
W. Tackabury,1
E. Blanton,4
K. Fall,2
L. Wang,2
B. Gage,1
H. Shieh,1
L-N. Hamer,1
C. Groves,1
M. Pantaleo,1
T. Anderson,4
J. Wood,1
M. Chandra,2
D. Hopwood,2
J. Mikkelsen,2
M. Nystrom,5
S. Blake-Wilson,4
T. Wright,2
R. Frederick,1
B. Korver,3
E. Rescorla,12
E. Belding-Royer,1
S. Das,2
W. Lai,2
D. Gilletti,1
D. Dutt,3
K. Ho Chan,1
M. Chiba,4
M. Eklund,2
J. Roese,1
P. Congdon,4
