Author,RFC_Match_Count
W. Ottaway,1
J. Hakala,3
B. Patel,2
S. Booth,1
W. Dixon,2
D. Awduche,2
D. Gan,3
G. Swallow,31
L. Berger,37
G. Huston,31
D. Brezinski,1
S. Brim,2
J. Brezak,2
J. Trostle,1
M. Swift,1
D. Jones,1
R. Woundy,8
A. Johnston,19
G. Camarillo,51
J. Peterson,29
P. Chown,1
P. Gutmann,5
K. Chan,5
H. Lu,1
I. Faynberg,2
J. Gato,1
L. Slutsman,1
A. Molitor,1
A. Rayhan,1
J. Kuthan,1
M. Shore,2
P. A. Mart,1
P. Sijben,1
R. P. Swale,1
W. Marshall,2
B. Volz,13
J. Bound,3
M. Carney,1
T. Lemon,12
C. Bormann,30
H. Hannu,1
J. Christoffersson,1
R. Price,2
Z. Liu,5
M. Watson,11
C. Jennings,23
C. Carle,1
S. Zander,1
T. Zseby,6
C. Shih,1
R. Drummond,2
T. Harding,3
B. Buffam,1
B. Thompson,1
T. Koren,1
D. Crocker,17
G. Klyne,1
M. Krueger,3
R. Haagens,1
A. Vemuri,1
E. Stokes,1
R. Weiser,1
H. Chaskar,2
M. Eder,1
S. Nag,1
A. B. Roach,4
D. Gurle,1
D. Massey,3
S. Rose,8
J. Jonsson,2
J. Widmer,2
M. Blanchet,15
E. Henrikson,1
M. Garcia-Martin,11
S. Kelly,6
S. Ramamoorthi,1
S. Hollenbeck,24
A. Costello,1
P. Faltstrom,6
B. Beser,1
P. Duffy,3
D. Eastlake,5
K. Fujimura,3
A. Cerpa,1
J. Elson,1
H. Levkowetz,5
S. Vaarala,2
B. Gage,2
B. Kosinski,1
H. Shieh,2
L-N. Hamer,2
J. Kumarasamy,2
K. Kinnear,12
M. Stapp,14
R. Johnson,7
C. Beame,1
D. Noveck,9
R. Thurlow,2
S. Shepler,3
D. Hopwood,2
J. Mikkelsen,2
S. Blake-Wilson,4
T. Wright,2
B. Weis,13
M. Baugher,3
T. Hardjono,3
A. Kleen,1
A. Kuznetsov,1
H. Khosravi,4
J. Salim,1
B. Korver,2
E. Belding-Royer,1
S. Das,6
D. Gilletti,1
P. Rzewski,1
G. Dommety,6
M. Chiba,4
M. Eklund,2
E. Vyncke,4
J. Jason,1
L. Rafalow,1
L. Sanchez,1
M. Richardson,15
J. Loughney,8
F. Andreasen,10
P. Jacquet,4
T. Clausen,23
O. Troan,14
J. Bevilacqua,1
K. Luehrs,1
N. Davoust,1
C. Merrill,1
R. Sabett,1
S. Wu,1
L. Lannom,2
S. Sun,2
S. Reilly,1
J. Boyer,1
M. Hughes,1
P. Hethmon,2
C. Cunningham,2
K. Summers,2
S. Donovan,7
F. Templin,12
M. Lewis,1
R. Ogier,4
D. Mulligan,2
J. Cuellar,3
J. Morris,7
J. Polk,16
M. Danley,1
J. Rajahalme,2
P. Savola,13
T. Freeman,2
D. McGrew,17
E. Carrara,4
K. Norrman,4
M. Naslund,3
IAB Advisory Committee,1
B. Rajagopalan,1
C. Sapuntzakis,1
E. Zeidner,1
J. Satran,3
K. Meth,2
M. Chadalapaka,6
J. Hafner,1
J. Hufferd,4
K. Voruganti,2
M. Bakke,4
F. Travostino,3
J. Tseng,2
J. Walker,3
V. Rangan,1
T. Polk,9
L. Yang,2
R. Dantu,1
R. Gopal,3
T. Anderson,7
J. Carlson,2
L. Blunk,3
A. Barbir,8
E. Burger,15
R. Chen,4
R. Penno,16
S. McHenry,1
P. Nikander,11
J. Schlyter,5
O. Kolkman,17
D. Gustafson,1
M. Just,1
S. Shalunov,4
S. Miyakawa,3
E. Davies,17
E. Taft,1
J. Pravetz,1
S. Zilles,1
C. Lynn,1
K. Seo,4
J. Pastor-Balbas,1
M. Tuexen,23
A. Bergstrom,1
II,2
P. Nesser,2
R. Sofia,1
A. Nagarajan,1
R. da Silva,2
G. Fairhurst,25
J. Touch,14
L. Wood,1
R. Ludwig,1
D. Engert,1
L. Pearlman,1
M. Thompson,1
S. Tuecke,2
V. Welch,1
D. Peterson,2
F. Lindholm,2
M. Hofmann,3
A. Beck,2
A. Terzis,1
B. Srinivas,1
O. Batuner,2
T. Chan,1
P. Kyzivat,11
G. Jones,1
K. Coar,1
D. Chadwick,1
S. Mullan,1
L. Eggert,20
Y. Wang,4
M. Westerlund,31
A. Rousskov,3
P. Saint-Andre,43
J. Lau,1
M. Townsley,8
E. Mannie,2
S. Leinen,1
B. Haberman,13
C. Patel,2
B. Zill,1
T. Aura,2
C. Feather,1
A. Newton,15
M. Sanz,2
D. Singer,6
M.M. Hannuksela,1
S. Wenger,10
T. Stockhammer,6
M. Stiemerling,12
T. Taylor,23
T. Palaniappan,2
P. McCann,3
T. Johansson,1
H. Hakala,1
J-P. Koskinen,1
L. Mattila,1
M. Stura,1
J. Schnizlein,1
M. Parthasarathy,3
T. Sperry,1
D. McDysan,4
M. Carugi,1
M. Larson,4
R. Arends,5
T. Gindin,1
L. Dondeti,8
R. Canetti,2
A. Sturgeon,1
D. Linsenbardt,1
S. Pontius,1
A. Singh,1
D. Funato,1
E. Shim,3
M. Liebsch,5
R. Koodli,15
P. Eronen,14
G. Karagiannis,9
R. Hancock,2
S. Van den Bosch,1
D. Kroeselberg,4
H. Tschofenig,82
A. Perrig,1
B. Briscoe,13
D. Song,1
J. D. Tygar,1
D. Plonka,1
IAB and IESG,1
A. Atlas,12
P. Pan,6
F. Adrangi,2
J. Manner,9
X. Fu,5
M. Barnes,16
M. Suzuki,3
L. Fang,13
K. Raeburn,2
S. Hartman,21
T. Yu,3
C. Agboh,1
D. Moberg,1
A. Katsnelson,1
E. Cardona,2
K. Ozawa,1
S. Green,1
G. Daley,3
JH. Choi,2
C. Castelluccia,2
H. Soliman,9
K. El Malki,3
L. Bellier,2
M. Terada,2
M. Cooper,1
P. Hesse,1
R. Nicholas,1
S. Joseph,1
Y. Dzambasow,1
C. Allocchio,1
C. Kanaide,2
K. Mimura,2
K. Yokoyama,2
T. Satoh,2
K. Watanabe,1
H.J. Lee,1
J.H. Yoon,1
J.I. Lee,1
C. Du Laney,1
J. Souza,1
K. Gibbons,2
C. Monia,1
M. Edwards,1
R. Mullendore,1
W. Jeong,1
K. Ono,2
S. Tachimoto,1
E. Lear,13
H. Ishimatsu,1
J. Drake,22
T. Kause,2
T. Mononen,1
R. Gilligan,1
T. Gleeson,2
J.-P. Vasseur,2
R. Zhang,14
D. M\'Raihi,4
D. Naccache,2
F. Hoornaert,1
M. Bellare,1
O. Ranen,1
R. Graveman,3
R. Mahy,12
M. Stecher,3
A. Spitzer,3
J. Van Dyke,4
A. Takenouchi,1
T. Yamasaki,1
Y. Shirasaki,1
W. Griffin,1
E. Gray,10
G. Bernstein,11
V. Sharma,1
B. Collini-Nocker,2
H. Clausen,1
H. Linder,1
M.-J. Montpetit,1
A. Kulkarni,1
B. Lilly,1
B. Schneier,2
S. Bailey,2
T. Talpey,5
D. Oran,5
D.H. Redelmeier,1
D. Royer,1
G. Babics,1
S. Mansour,1
B. Hoehrmann,1
R. Brandner,3
R. Stastny,4
S. Sangli,6
L. Lynch,1
K. Carlberg,8
D. Allan,7
T. Nadeau,31
M. Behringer,10
P. Hallam-Baker,8
S. Josefsson,18
M. Wong,1
W. Schlitt,1
J. Wong,1
P. Resnick,11
A. Melnikov,56
K. Zeilenga,5
R. Moskowitz,7
N. Moore,1
J. Vilhuber,1
K. Kamada,2
S. Sakane,3
M. Andrews,7
S. Weiler,9
A. Patel,4
K. Leung,15
M. Kulkarni,1
G. Clemm,3
J. Reschke,26
J. Whitehead,2
G. Heron,7
L. Martini,23
N. El-Aawar,4
T. Smith,1
G. Blanco,2
F. Audet,9
J. Elwell,6
B. Eberman,1
P. Monaco,1
S. Shanmugham,2
A. Durand,7
J. Ihren,2
C. Francis,1
D. Sicker,1
B. Moeller,3
C. Hawk,1
N. Bolyard,1
F. Derks,1
O. Rousseau,1
P. Mourot,1
C. Stredicke,1
H. Sinnreich,3
S. Lass,1
A. Colegrove,2
U. Meth,1
S. Maes,2
B. Tung,1
L. Zhu,13
K. Jaganathan,3
N. Williams,16
V. Lehtovirta,3
H. Cheng,2
S. Govindan,2
WH. Zhou,1
ZH. Yao,1
M. Johnston,1
S. Venaas,19
O. Levin,4
J. Ott,12
K. Drage,7
Y. Yang,11
J. Babiarz,3
R. Lehtonen,2
T. Kivinen,13
R. Even,22
G. Sullivan,1
V. Fuller,7
K. Marez,1
G. Giaretta,6
R. Gieben,5
M. Euchner,1
C. Vogt,7
J.L. Le Roux,2
A. Bivens,1
P. Arberg,3
R. Rennison,1
V. Mammoliti,3
A. Medvinsky,1
J. Ball,1
E. Nechamkin,2
J-F. Mule,6
H.. Lee,1
J. Lee,10
J. Park,3
S. Park,7
J. Guichard,1
K. Patel,23
P. Marques,3
R. Bonica,18
R. Raszuk,12
J. Fenton,4
J. Lazzaro,3
J. Wawrzynek,3
P. Barber,2
A. Corry,1
A. Siddiqui,1
D. Romascanu,12
E. Golovinsky,1
M. Rahman,1
Y. Kim,2
M. Munakata,3
S. Schubert,6
T. Ohba,3
J. Galbraith,2
G. Koleyni,1
J. Brayley,3
J. Jayakumar,1
M. Bocci,18
M. Dos Santos,2
R. Aggarwal,27
N. Del Regno,3
J. Bharatia,1
T. Kosonen,1
T. White,1
E. Chen,14
J. Scudder,17
R. Fernando,5
A. Mayrhofer,11
B. Hoeneisen,5
A. Ayyangar,5
A. Farrel,63
B. Fenner,5
D. Johnson,3
D. Maltz,1
Y. Hu,1
M. Abel,1
M. Dolly,7
D. Cridland,8
