RFC_ID,Title,Authors,Date,Status,Stream,Area,Working_Group
672,Multi-site data collection facility,R. Schantz,December 1974,UNKNOWN,Legacy,,
674,Procedure call documents: Version 2,"J. Postel,J.E. White",December 1974,UNKNOWN,Legacy,,
675,Specification of Internet Transmission Control Program,"C. Sunshine,V. Cerf,Y. Dalal",December 1974,HISTORIC,Legacy,,
677,Maintenance of duplicate databases,"P.R. Johnson,R. Thomas",January 1975,UNKNOWN,Legacy,,
681,Network UNIX,S. Holmgren,March 1975,UNKNOWN,Legacy,,
684,Commentary on procedure calling as a network protocol,R. Schantz,April 1975,UNKNOWN,Legacy,,
686,Leaving well enough alone,B. Harvey,May 1975,UNKNOWN,Legacy,,
691,One more try on the FTP,B. Harvey,June 1975,UNKNOWN,Legacy,,
694,Protocol information,J. Postel,June 1975,UNKNOWN,Legacy,,
696,Comments on the IMP/Host and Host/IMP Protocol changes,V.G. Cerf,July 1975,UNKNOWN,Legacy,,
699,Request For Comments summary notes: 600-699,"J. Postel,J. Vernon",November 1982,INFORMATIONAL,Legacy,,
708,Elements of a Distributed Programming System,J.E. White,January 1976,UNKNOWN,Legacy,,
712,Distributed Capability Computing System (DCCS),J.E. Donnelley,February 1976,UNKNOWN,Legacy,,
721,Out-of-Band Control Signals in a Host-to-Host Protocol,L.L. Garlick,September 1976,HISTORIC,Legacy,,
725,RJE protocol for a resource sharing network,"G.R. Grossman,J.D. Day",March 1977,UNKNOWN,Legacy,,
726,Remote Controlled Transmission and Echoing Telnet option,"D. Crocker,J. Postel",March 1977,PROPOSED STANDARD,Legacy,,
733,Standard for the format of ARPA network text messages,"D. Crocker,D.A. Henderson,J. Vittal,K.T. Pogran",November 1977,UNKNOWN,Legacy,,
739,Assigned numbers,J. Postel,November 1977,HISTORIC,Legacy,,
740,NETRJS Protocol,R.T. Braden,November 1977,HISTORIC,Legacy,,
750,Assigned numbers,J. Postel,September 1978,HISTORIC,Legacy,,
751,Survey of FTP mail and MLFL,P.D. Lebling,December 1978,UNKNOWN,Legacy,,
755,Assigned numbers,J. Postel,May 1979,HISTORIC,Legacy,,
758,Assigned numbers,J. Postel,August 1979,HISTORIC,Legacy,,
759,Internet Message Protocol,J. Postel,August 1980,HISTORIC,Legacy,,
761,DoD standard Transmission Control Protocol,J. Postel,January 1980,HISTORIC,Legacy,,
762,Assigned numbers,J. Postel,January 1980,HISTORIC,Legacy,,
765,File Transfer Protocol specification,J. Postel,June 1980,UNKNOWN,Legacy,,
767,Structured format for transmission of multi-media documents,J. Postel,August 1980,UNKNOWN,Legacy,,
770,Assigned numbers,J. Postel,September 1980,HISTORIC,Legacy,,
776,Assigned numbers,J. Postel,January 1981,HISTORIC,Legacy,,
780,Mail Transfer Protocol,"J. Postel,S. Sluizer",May 1981,UNKNOWN,Legacy,,
788,Simple Mail Transfer Protocol,J. Postel,November 1981,UNKNOWN,Legacy,,
790,Assigned numbers,J. Postel,September 1981,HISTORIC,Legacy,,
793,Transmission Control Protocol,J. Postel,September 1981,INTERNET STANDARD,Legacy,,
801,NCP/TCP transition plan,J. Postel,November 1981,UNKNOWN,Legacy,,
808,Summary of computer mail services meeting held at BBN on 10 January 1979,J. Postel,March 1982,UNKNOWN,Legacy,,
809,UCL facsimile system,T. Chang,February 1982,UNKNOWN,Legacy,,
813,Window and Acknowledgement Strategy in TCP,D.D. Clark,July 1982,HISTORIC,Legacy,,
814,"Name, addresses, ports, and routes",D.D. Clark,July 1982,INFORMATIONAL,Legacy,,
819,The Domain Naming Convention for Internet User Applications,"J. Postel,Z. Su",August 1982,UNKNOWN,Legacy,,
820,Assigned numbers,J. Postel,August 1982,HISTORIC,Legacy,,
821,Simple Mail Transfer Protocol,J. Postel,August 1982,INTERNET STANDARD,Legacy,,
